comment,score,likes
just had a few too many and fell off his stool to sleep it off.,0,0
"🤣🤣🤣🤣🤣🤣🤣🤣🤣
👍",0,0
I am sure that is a cat in Thailand.,0.3182,0
"Maine coon being lazy and bored in quarantine 
https://youtu.be/E0IHPAJdF-k",-0.5574,0
"Cat during quarantine 😂
https://youtu.be/E0IHPAJdF-k",0,0
"🤗🤗🤗🤗🤗🤗🤗🤗💋😍😅😅😅😅🤗🙄🤭✋.
الطائف⁦🇸🇦⁩😍✋",0,0
more video baby animals : https://youtu.be/3OGuvKsrN2I?sub_confirmation=1,0,0
好命貓～：）,0,0
"Is that ok tho, for real",0.296,0
This is the cat from final fantasy xv,0,0
are you sure its sleeping and not dead ^_-,0.6948,0
"oh I'm sorry to hear that you broke up with ms.kitty... but come on, you have to move on",-0.2617,0
I wish they put a blanket aside where he can sleep on.,0.4019,0
I really want to rub that velvet belly 0:26,0.1513,0
Pobre después lo metieron a la olla.,0,0
I have a cat just like this one.,0.3612,0
She is obviously very well taken care of.  She has no fear of humans.,0.1171,0
"Cat: You see floor, I see beach",0,0
Boss,0,0
"Lemme have whatever cat had, make it 2 actually",0,0
😂😂😂👍👍👍👍,0,0
Объелся!,0,0
"lmfao, that cats bossss",0.5423,0
He dead brah.,-0.6486,0
chad kot,0,0
Thats a Flerken!,0,0
Cats do this because they feel really safe in their environment.,0.4927,0
The cat in dope,0,0
That's one well looked after happy chappie,0.7003,0
"he looks like, Hey i drink too much yesterday, please leave me alone",0.3818,0
Busy restaurant? Hmmm doesn’t seem like it 🤷‍♀️🤷‍♀️ Love the cat. That’s how I feel in quarantine. Let me be. I’m chillaxing,0.7717,0
He ate too much...food coma...lol,0,0
He just saw his bill,0,0
Haha just like my jasper,0.6705,0
"Fact check:




*You didn't search for it*",0,0
what a ugly cat,-0.5106,0
Oren memang barbar,0,0
This kitty had a lot of Skooma last night!,0,0
Hermoso!!💙💙,0,0
That's my style when I'm in my girlfriends house,0,2
poor baby he looks paralyzed,-0.4767,0
Que fastidio! Vayan a trabajar y déjenlo dormir en paz 😾,0,0
"Какие хорошие люди.😊
У нас бы этого кота давно по полу размазали бы.",0,0
Imagine experiencing midlife crisis in a restaurant and still getting a massage...,-0.6249,1
Straight over it. Hahaha. Love that cat.,0.8658,0
Tu é bem folgado né colega?🐈😂😂😂,0,0
Very sweet cat ♥️♥️♥️🙂🤗🙂🙏,0.5095,0
No more decaf for decat 🐈😷☕,-0.296,0
Its probably hot and shes trying to cool off,0.3182,0
For a cat to expose its belly like that is impressive,0.6369,0
Is it dead?,-0.6486,0
I love how the cat looks like Garfield and is lazy like Garfield,0.7717,2
What a beautiful baby.,0.5994,0
🐺🐺🐺🐺😚😚😚😚,0,0
"Cat: clear as day, no penis in sight
Comments: he",0.1027,0
The cat is drunk!,-0.4003,0
So cute💕,0,0
"Yet when I do this, I get nothing but complaints.",0.438,0
Typical male!,0,0
"If it is a legit food restaurant, then why is an animal allowed in there? No matter the animal, that's just nasty. Are they really washing their hands after they touch him?🤔🤔🤔🤔",-0.7236,0
need more fish,0,0
That’s a power move by the Cat.,0,0
what s wrong with the guy having some sleep? he s so cute💕💕💕💕,-0.4767,1
